rtmed,peaks3,MattID1,SimMatt1
8.064083333,M93T8,column,0
8.335333333,M69T8,column,520
8.540916667,M141T9_2,column,529
8.542833333,M142T9_1,column,0
8.745416667,M98T9,column,503
8.804166667,M221T9,column,0
9.053583333,M213T9,propanoic acid,903
9.055,M86T9_2,propanoic acid,903
9.05625,M274T9,propanoic acid,903
9.058333333,M348T9,propanoic acid,903
9.058333333,M569T9,propanoic acid,903
9.058333333,M376T9,propanoic acid,903
9.058333333,M275T9,propanoic acid,903
9.058333333,M364T9,propanoic acid,903
9.058333333,M340T9,propanoic acid,903
9.058333333,M385T9,propanoic acid,903
9.058333333,M400T9,propanoic acid,903
9.058333333,M540T9,propanoic acid,903
9.058333333,M444T9,propanoic acid,903
9.058333333,M551T9,propanoic acid,903
9.058333333,M470T9,propanoic acid,903
9.058333333,M374T9,propanoic acid,903
9.058666667,M503T9,propanoic acid,903
9.05875,M537T9,propanoic acid,903
9.05875,M490T9,propanoic acid,903
9.05875,M428T9,propanoic acid,903
9.05875,M366T9,propanoic acid,903
9.058833333,M436T9,propanoic acid,903
9.058833333,M581T9,propanoic acid,903
9.059,M570T9,propanoic acid,903
9.059166667,M422T9,propanoic acid,903
9.059166667,M384T9,propanoic acid,903
9.059166667,M481T9,propanoic acid,903
9.059166667,M491T9,propanoic acid,903
9.059166667,M484T9,propanoic acid,903
9.059166667,M344T9,propanoic acid,903
9.059166667,M594T9,propanoic acid,903
9.059166667,M488T9,propanoic acid,903
9.059166667,M393T9,propanoic acid,903
9.059166667,M508T9,propanoic acid,903
9.059166667,M133T9_1,propanoic acid,903
9.0595,M568T9,propanoic acid,903
9.059583333,M559T9,propanoic acid,903
9.059833333,M506T9,propanoic acid,903
9.059833333,M522T9,propanoic acid,903
9.06,M117T9_1,propanoic acid,903
9.06,M504T9,propanoic acid,903
9.060333333,M586T9,propanoic acid,903
9.060916667,M145T9_2,propanoic acid,903
9.06125,M148T9_2,propanoic acid,903
9.067833333,M121T9_1,propanoic acid,903
9.111666667,M126T9,column,525
9.76075,M69T10,column,790
9.951166667,M407T10_1,column,924
9.953166667,M514T10_1,column,924
10.34333333,M60T10_2,column,683
10.36791667,M123T10_1,column,683
11.02333333,M94T11_1,column,550
11.11166667,M406T11,dodecenol,715
11.13933333,M165T11,dodecenol,715
11.99816667,M92T12,column,513
12.43133333,M130T12_1,phosphate,808
12.44016667,M188T12,phosphate,808
12.51583333,M196T13_2,phosphate,808
12.52133333,M61T13_2,phosphate,808
12.5235,M229T13_2,phosphate,808
12.52466667,M317T13_1,phosphate,808
12.52483333,M241T13,phosphate,808
12.52833333,M328T13_1,phosphate,808
12.52933333,M569T13_1,phosphate,808
12.52941667,M511T13_1,phosphate,808
12.52983333,M578T13_1,phosphate,808
12.52983333,M519T13_1,phosphate,808
12.53,M291T13_2,phosphate,808
12.53016667,M289T13_2,phosphate,808
12.53025,M483T13_1,phosphate,808
12.53066667,M245T13_1,phosphate,808
12.53133333,M311T13_1,phosphate,808
12.53333333,M163T13_1,phosphate,808
12.53583333,M325T13_2,phosphate,808
12.54033333,M118T13_3,phosphate,808
12.9245,M317T13_2,l-proline,859
12.97,M99T13,l-proline,859
13.09966667,M285T13_1,glycine,868
13.10175,M586T13_2,glycine,868
13.24291667,M150T13_1,Butanedioic acid,898
13.46133333,M310T13_1,propanoic acid,907
13.46416667,M238T13_1,propanoic acid,907
13.46583333,M162T13_3,propanoic acid,907
13.46625,M117T13_2,propanoic acid,907
13.58816667,M357T14_2,pyrimidine,899
13.6265,M251T14_2,pyrimidine,899
13.645,M86T14_1,pyrimidine,899
13.88966667,M245T14_1,serine,879
13.96308333,M282T14_2,serine,879
14.35041667,M152T14,l-threonine,872
14.75333333,M374T15,pentanedioic acid,786
14.758,M66T15,pentanedioic acid,786
15.59583333,M154T16,Butanoic acid,695
15.61341667,M211T16,Butanoic acid,695
15.7675,M232T16,l-aspartic acid,686
16.07833333,M82T16_2,Butanedioic acid,866
16.1155,M243T16,no peak,866
16.39333333,M185T16_1,hexanedioic acid,791
16.52433333,M187T17_1,l-proline,883
17.05625,M252T17,Creatinine enol,800
17.06166667,M172T17_2,Creatinine enol,800
17.07083333,M232T17_3,Creatinine enol,800
17.07433333,M63T17_3,Creatinine enol,800
17.07583333,M134T17_2,Creatinine enol,800
17.0805,M119T17,Creatinine enol,800
17.08833333,M135T17_2,Creatinine enol,800
17.683,M161T18_2,no peak,800
17.76291667,M137T18_2,no peak,800
18.1425,M489T18,glutamic acid,847
18.33083333,M316T18,gluconic acid,855
18.82708333,M280T19,d-ribose,879
19.88466667,M175T20,d-ribose,666
20.16458333,M127T20,column,666
20.344,M114T20_2,cyclic sugar,692
20.66041667,M264T21_2,9h-purine,854
20.72208333,M221T21,9h-purine,854
21.33558333,M122T21_1,d-galactose,817
22.03125,M486T22,d-glucose,802
22.84541667,M86T23,d-glucose,802
23.27875,M253T23_2,7h-purine,759
23.62108333,M300T24_2,hexadecanoic acid,887
23.62541667,M170T24_2,hexadecanoic acid,887
23.62666667,M168T24_2,hexadecanoic acid,887
23.62858333,M255T24_2,hexadecanoic acid,887
23.63583333,M144T24_2,hexadecanoic acid,887
24.05416667,M103T24,myo-inositol,889
24.05416667,M399T24,myo-inositol,889
24.05433333,M412T24,myo-inositol,889
24.05841667,M519T24,myo-inositol,889
24.05958333,M273T24,myo-inositol,889
24.5545,M127T25_2,d-mannose,791
24.6625,M262T25,d-mannose,791
25.09908333,M173T25_2,d-mannose,791
25.52833333,M155T26_1,"9,12-octadecadienoic acid",890
25.53083333,M233T26_1,"9,12-octadecadienoic acid",890
25.92958333,M550T26,ribitol,710
25.94,M404T26,ribitol,710
26.6925,M242T27_2,inosose,651
26.70125,M210T27,inosose,651
26.70666667,M152T27,inosose,651
26.78291667,M287T27,inosose,651
26.79166667,M187T27,inosose,651
26.7975,M331T27,inosose,651
27.1645,M94T27_1,ribitol ,619
27.52666667,M199T28_2,inositol,744
27.7675,M112T28_2,decanoic acid,592
28.14216667,M326T28,inosose,631
28.14316667,M575T28,inosose,631
28.17133333,M373T28_1,inosose,631
28.2855,M445T28,a-d-galactopyranoside,611
28.2965,M343T28_1,a-d-galactopyranoside,611
28.40583333,M318T28_2,ribitol,614
28.95916667,M410T29,inosine,818
28.96291667,M369T29,inosine,818
28.96416667,M297T29,inosine,818
29.12291667,M116T29,pentanedioic acid,671
29.13083333,M98T29,pentanedioic acid,671
29.13416667,M545T29,pentanedioic acid,671
29.19266667,M554T29,pentanedioic acid,671
29.20091667,M501T29,pentanedioic acid,671
29.22291667,M573T29,pentanedioic acid,671
29.77958333,M95T30,adenosine tetrakis,846
29.79291667,M63T30,adenosine tetrakis,846
29.79916667,M117T30,adenosine tetrakis,846
29.8,M124T30,adenosine tetrakis,846
29.80083333,M75T30,adenosine tetrakis,846
30.92708333,M230T31_1,guanosine,818
30.93666667,M171T31,guanosine,818
31.17375,M344T31_2,docosahexaenoic acid,699
31.179,M105T31_2,docosahexaenoic acid,699
31.24091667,M403T31_2,docosahexaenoic acid,699
31.27916667,M307T31_2,docosahexaenoic acid,699
31.39666667,M152T31_2,octadecanoic acid,810
31.39683333,M258T31_2,octadecanoic acid,810
31.40283333,M204T31_2,octadecanoic acid,810
31.46583333,M273T31_2,guanosine,713
31.812,M95T32_1,maltose,789
31.81583333,M563T32,maltose,789
32.17666667,M232T32,maltose,828
32.18666667,M173T32_2,maltose,828
32.19083333,M219T32,maltose,828
32.19333333,M79T32_1,maltose,828
32.1945,M240T32_1,maltose,828
32.70458333,M161T33_2,d-glucose,784
32.85716667,M94T33,maltose,761
33.1085,M173T33,d-cellobiose,786
33.11583333,M135T33,d-cellobiose,786
33.11716667,M69T33,d-cellobiose,786
33.65416667,M316T34,adenosine,629
34.22716667,M94T34,column,629
34.7275,M175T35,tricosadiynoic acid,617
36.38266667,M139T36,stigmasterol,744
36.38383333,M394T36,stigmasterol,744
37.30116667,M233T37,a-sitosterol,743
